Address,Price,Rooms,Squared_meters,Floor,Link,Summary,Distric,Type,Pool,Furniture,Exterior,Elevator
"calle Aguarón, Valdemarín, Madrid",900.0,,55,2,www.idealista.com/inmueble/98588378/,"
Chrystie & Didie ofrece en Exclusiva. Loft muy luminoso en Valdemarín, (Amueblado) con una Gran Plaza de Garaje incluido en el precio, en...
",Chamartin,Studio,False,False,True,True
"calle de Luisa Fernanda, Argüelles, Madrid",700.0,,50,4,www.idealista.com/inmueble/91350410/,"
Disponible a principios de septiembre. Alquiler tradicional, no se alquila por meses.
Espacioso y luminosos estudio en Argüelles, junto a...
",Chamartin,Studio,False,False,False,True
"calle de Irún, Argüelles, Madrid",900.0,,73,2,www.idealista.com/inmueble/98145156/,"
Excelente estudio, junto a la estación de Príncipe Pío, la Plaza España y frente a los jardines de Sabatini.
El estudio ha sido reformad...
",Chamartin,Studio,False,False,True,True
"avenida del Doctor Federico Rubio y Galí, 88, Ciudad Universitaria, Madrid",850.0,,41,0,www.idealista.com/inmueble/98614584/,"
Se alquila estudio amueblado de 40 m2 recién reformado. Planta baja exterior con amplias ventanas en ambas fachadas orientadas a zonas aj...
",Chamartin,Studio,False,True,True,True
"Valdemarín, Madrid",795.0,,42,1,www.idealista.com/inmueble/97899849/,"
ARAVACA-VALDEMARIN.
Exclusivo Loft de 40 M2 situado en la Urbanización de de Valdemarín, distrito de Moncloa-Aravaca, dentro de un moder...
",Chamartin,Studio,False,False,True,True
"Casa de Campo, Madrid",950.0,,34,0,www.idealista.com/inmueble/97703400/,"
Se alquila estudio espacioso ubicado en Argüelles-Manzanares. Ideal para estudiantes máximo dos personas. Cerca de Centro Comercial Prínc...
",Chamartin,Studio,False,False,False,True
"Argüelles, Madrid",945.0,,30,3,www.idealista.com/inmueble/98413916/,"
FANTÁSTICO ESTUDIO INTERIOR A ESTRENAR Ubicado a pocos metros andando de la estación de metro de la Plaza de España y Príncipe Pío EN BAR...
",Chamartin,Studio,False,False,False,True
"calle Darío Aparicio, 5, Valdemarín, Madrid",850.0,,37,2,www.idealista.com/inmueble/97301555/,"
Estudio muy acogedor y completamente equipado situado en una urbanización amplia, con piscina, pista de tenis y gimnasio.
No se admiten a...
",Chamartin,Studio,True,False,True,True
"Aravaca, Madrid",650.0,,35,0,www.idealista.com/inmueble/91295965/,"
Estudio de 650 Euros, para vivienda u oficina-despacho, cocina americana y electrodomesticos. Zona muy tranquila
Grandes armarios empotra...
",Chamartin,Studio,False,False,True,True
"plaza Almuñécar, 9, Casa de Campo, Madrid",700.0,,50,0,www.idealista.com/inmueble/98060957/,"
apartamento recién reformado, muy próximo a puente de los franceses y ciudad universitaria, cocina completa y baño recién hecho, lo estre...
",Chamartin,Studio,False,False,True,True
"calle de Altair, 5, Valdemarín, Madrid",795.0,,25,0,www.idealista.com/inmueble/95041156/,"
Zona de Valdemarin. alquiler independiente de 3 estudios de 20 m2 útiles, cocina con placa, microondas, lavadora y frigorífico, amueblado...
",Chamartin,Studio,False,True,True,True
"avenida de la Osa Mayor, 57, Aravaca, Madrid",750.0,,55,1,www.idealista.com/inmueble/91089733/,"
Aire acondicionado, parque recién reformado.
",Chamartin,Studio,False,False,True,True
"calle Aguarón, Valdemarín, Madrid",900.0,,55,2,www.idealista.com/inmueble/98588378/,"
Chrystie & Didie ofrece en Exclusiva. Loft muy luminoso en Valdemarín, (Amueblado) con una Gran Plaza de Garaje incluido en el precio, en...
",Chueca,Studio,False,False,True,True
"calle de Luisa Fernanda, Argüelles, Madrid",700.0,,50,4,www.idealista.com/inmueble/91350410/,"
Disponible a principios de septiembre. Alquiler tradicional, no se alquila por meses.
Espacioso y luminosos estudio en Argüelles, junto a...
",Chueca,Studio,False,False,False,True
"calle de Irún, Argüelles, Madrid",900.0,,73,2,www.idealista.com/inmueble/98145156/,"
Excelente estudio, junto a la estación de Príncipe Pío, la Plaza España y frente a los jardines de Sabatini.
El estudio ha sido reformad...
",Chueca,Studio,False,False,True,True
